Name of Conference,H-Index,Predicted Imapct Factor
Proceedings of the IEEE Computer Society Conference on Computer  Vision and Pattern Recognition,240.0,6.672450817376607
CBMS-NSF Regional Conference Series in Applied Mathematics,2.0,0.7278821382893341
Proceedings of the IEEE International Conference on Computer Vision,172.0,4.974002623351672
"Proceedings - 2016 43rd International Symposium on Computer Architecture, ISCA 2016",11.0,0.9526767522043991
2015 IEEE Radar Conference - Proceedings,1.0,0.702904958965438
"IEEE Symposium on VLSI Circuits, Digest of Technical Papers",7.0,0.8527680349088147
Proceedings - IEEE Symposium on Security and Privacy,91.0,2.9508510981160874
Proceedings - International Symposium on Computer Architecture,98.0,3.12569135338336
Proceedings of the Annual ACM Symposium on Theory of Computing,83.0,2.7510336635249186
"2015 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2015 - Proceedings",13.0,1.0026311108521913
"2015 IEEE 21st International Symposium on High Performance Computer Architecture, HPCA 2015",19.0,1.1524941867955678
BMVC 2014 - Proceedings of the British Machine Vision Conference 2014,17.0,1.1025398281477756
Proceedings of the ACM SIGMOD International Conference on Management of Data,135.0,4.049846988367516
MM 2014 - Proceedings of the 2014 ACM Conference on Multimedia,20.0,1.177471366119464
"Proceedings of HPTCDL 2014: 1st Workshop for High Performance Technical Computing in Dynamic Languages - Held in Conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",4.0,0.7778364969371263
"31st International Conference on Machine Learning, ICML 2014",22.0,1.2274257247672562
"Proceedings of the 9th European Conference on Computer Systems, EuroSys 2014",14.0,1.0276082901760875
"AllThingsCellular 2014 - Proceedings of the 4th ACM Workshop on All Things Cellular: Operations, Applications, and Challenges",6.0,0.8277908555849185
"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",69.0,2.401353152990373
"33rd International Conference on Machine Learning, ICML 2016",26.0,1.3273344420628406
Proceedings of the VLDB Endowment,95.0,3.0507598154116717
"Proceedings - 2016 IEEE European Symposium on Security and Privacy, EURO S and P 2016",9.0,0.9027223935566069
WWW 2014 - Proceedings of the 23rd International Conference on World Wide Web,24.0,1.2773800834150484
Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,72.0,2.4762846909620615
"Proceedings of the 5th ACM Symposium on Cloud Computing, SOCC 2014",12.0,0.9776539315282952
"Proceedings of the 4th Workshop on Data analytics at sCale, DanaC 2015 - in conjunction with ACM SIGMOD/PODS Conference 2015",2.0,0.7278821382893341
Proceedings - International Symposium on High-Performance Computer Architecture,67.0,2.3513987943425807
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,139.0,4.1497557056631
"ACL-IJCNLP 2015 - 53rd Annual Meeting of the Association for Computational Linguistics and 7th International Joint Conference on Natural Language Processing of the Asian Federation of Natural Language Processing, Proceedings of the Conference - Short Papers",1.0,0.702904958965438
"Optical Fiber Communication Conference, OFC 2015",1.0,0.702904958965438
"Proceedings of the Annual International Symposium on Microarchitecture, MICRO",95.0,3.0507598154116717
